=== SVM Results for Chapter Level using TF-IDF ===

Training Accuracy: 0.9097
Validation Accuracy: 0.5947
Test Accuracy: 0.6072

Detailed Test Metrics:
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 268    | 0.625        | 1.0          | 0.7692       |
| Class 269    | 0.3333       | 0.5833       | 0.4242       |
| Class 270    | 0.3          | 0.4286       | 0.3529       |
| Class 271    | 1.0          | 1.0          | 1.0          |
| Class 272    | 0.5455       | 0.5          | 0.5217       |
| Class 273    | 0.7895       | 0.5          | 0.6122       |
| Class 274    | 0.3333       | 0.2          | 0.25         |
| Class 275    | 0.4          | 0.1538       | 0.2222       |
| Class 276    | 0.8043       | 0.8605       | 0.8315       |
| Class 277    | 0.5          | 0.2222       | 0.3077       |
| Class 278    | 0.25         | 0.2          | 0.2222       |
| Class 279    | 0.5714       | 0.5          | 0.5333       |
| Class 280    | 0            | 0.0          | 0            |
| Class 281    | 1.0          | 0.1111       | 0.2          |
| Class 282    | 0.625        | 0.4545       | 0.5263       |
| Class 283    | 0            | 0.0          | 0            |
| Class 284    | 0.3          | 0.6          | 0.4          |
| Class 285    | 0.6471       | 0.6286       | 0.6377       |
| Class 286    | 0            | 0.0          | 0            |
| Class 287    | 0.3333       | 0.0909       | 0.1429       |
| Class 288    | 0.2222       | 0.0952       | 0.1333       |
| Class 289    | 0.6765       | 0.561        | 0.6133       |
| Class 290    | 1.0          | 0.1111       | 0.2          |
| Class 291    | 0.8333       | 0.7143       | 0.7692       |
| Class 292    | 0.3333       | 0.1667       | 0.2222       |
| Class 293    | 0.7          | 0.6364       | 0.6667       |
| Class 295    | 0.8          | 0.2353       | 0.3636       |
| Class 296    | 1.0          | 0.7273       | 0.8421       |
| Class 297    | 0.0          | 0.0          | 0            |
| Class 298    | 0.0          | 0.0          | 0            |
| Class 299    | 0.6667       | 0.4          | 0.5          |
| Class 300    | 0.7143       | 0.625        | 0.6667       |
| Class 301    | 0.5714       | 0.6316       | 0.6          |
| Class 302    | 0.75         | 0.4615       | 0.5714       |
| Class 303    | 0.5          | 0.2          | 0.2857       |
| Class 304    | 0.6667       | 0.5          | 0.5714       |
| Class 305    | 0            | 0.0          | 0            |
| Class 306    | 0.25         | 0.2          | 0.2222       |
| Class 307    | 0.0          | 0.0          | 0            |
| Class 308    | 0.5          | 0.2857       | 0.3636       |
| Class 309    | 0.6316       | 0.6316       | 0.6316       |
| Class 310    | 0.5556       | 0.3571       | 0.4348       |
| Class 311    | 0.3478       | 0.3333       | 0.3404       |
| Class 312    | 0.4545       | 0.8333       | 0.5882       |
| Class 313    | 0.75         | 0.25         | 0.375        |
| Class 314    | 0.65         | 0.6842       | 0.6667       |
| Class 315    | 0.7647       | 0.7647       | 0.7647       |
| Class 316    | 1.0          | 0.25         | 0.4          |
| Class 317    | 0.6          | 0.5          | 0.5455       |
| Class 318    | 0.6667       | 0.3333       | 0.4444       |
| Class 319    | 0.625        | 0.5          | 0.5556       |
| Class 320    | 1.0          | 0.1667       | 0.2857       |
| Class 321    | 0.3333       | 0.15         | 0.2069       |
| Class 323    | 0.5556       | 0.4545       | 0.5          |
| Class 324    | 0.9286       | 0.7647       | 0.8387       |
| Class 325    | 0.7917       | 0.6552       | 0.717        |
| Class 326    | 0.5          | 0.5          | 0.5          |
| Class 327    | 0.5          | 0.375        | 0.4286       |
| Class 328    | 0            | 0.0          | 0            |
| Class 329    | 0.4          | 0.2353       | 0.2963       |
| Class 330    | 0.0          | 0.0          | 0            |
| Class 331    | 1.0          | 0.2          | 0.3333       |
| Class 332    | 0.4          | 0.2857       | 0.3333       |
| Class 333    | 0.8571       | 0.4615       | 0.6          |
| Class 334    | 0.25         | 0.6667       | 0.3636       |
| Class 335    | 1.0          | 0.6154       | 0.7619       |
| Class 336    | 0.0          | 0.0          | 0            |
| Class 338    | 0            | 0.0          | 0            |
| Class 339    | 0            | 0.0          | 0            |
| Class 340    | 0            | 0.0          | 0            |
| Class 341    | 0            | 0.0          | 0            |
| Class 342    | 0.0          | 0.0          | 0            |
| Class 344    | 0.4286       | 0.6          | 0.5          |
| Class 345    | 0.6667       | 0.6667       | 0.6667       |
| Class 346    | 0.5          | 0.25         | 0.3333       |
| Class 347    | 1.0          | 0.25         | 0.4          |
| Class 348    | 0.75         | 0.4286       | 0.5455       |
| Class 349    | 0.6667       | 0.4444       | 0.5333       |
| Class 350    | 0.6667       | 0.5714       | 0.6154       |
| Class 351    | 0.8333       | 0.625        | 0.7143       |
| Class 352    | 0            | 0.0          | 0            |
| Class 353    | 0            | 0.0          | 0            |
| Class 354    | 0            | 0.0          | 0            |
| Class 355    | 0.3333       | 0.0833       | 0.1333       |
| Class 356    | 0.5          | 0.25         | 0.3333       |
| Class 357    | 0.0          | 0.0          | 0            |
| Class 358    | 0            | 0.0          | 0            |
| Class 360    | 0            | 0.0          | 0            |
| Class 361    | 0.4          | 0.25         | 0.3077       |
| Class 362    | 0.0          | 0.0          | 0            |
| Class 363    | 0            | 0.0          | 0            |
| Class 364    | 0            | 0.0          | 0            |
| Class 365    | 0            | 0.0          | 0            |
| Class 366    | 0.0          | 0.0          | 0            |
| Class 368    | 0            | 0.0          | 0            |
| Class 371    | 0            | 0.0          | 0            |
| Class 372    | 0.8          | 1.0          | 0.8889       |
| Class 373    | 0            | 0.0          | 0            |
| Class 375    | 0            | 0.0          | 0            |
| Class 376    | 0.5          | 0.5          | 0.5          |
| Class 377    | 1.0          | 0.25         | 0.4          |
| Class 379    | 0            | 0.0          | 0            |
| Class 380    | 0.0          | 0.0          | 0            |
| Class 382    | 0            | 0.0          | 0            |
| Class 384    | 0            | 0.0          | 0            |
| Micro-Average | 0.6074       | 0.6072       | 0.6073       |
| Macro-Average | 0.5445       | 0.4709       | 0.4801       |
+--------------------------------------------------+
