=== SVM Results for Chapter Level using BoW ===

Training Accuracy: 0.8982
Validation Accuracy: 0.5218
Test Accuracy: 0.5226

Detailed Test Metrics:
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 307    | 0            | 0.0          | 0            |
| Class 308    | 1.0          | 0.1429       | 0.25         |
| Class 309    | 0.5417       | 0.6842       | 0.6047       |
| Class 310    | 0.3636       | 0.2857       | 0.32         |
| Class 311    | 0.3529       | 0.25         | 0.2927       |
| Class 312    | 0.2857       | 0.3333       | 0.3077       |
| Class 313    | 0.5          | 0.1667       | 0.25         |
| Class 314    | 0.625        | 0.5263       | 0.5714       |
| Class 315    | 0.6111       | 0.6471       | 0.6286       |
| Class 316    | 1.0          | 0.25         | 0.4          |
| Class 317    | 0.5          | 0.1667       | 0.25         |
| Class 318    | 0            | 0.0          | 0            |
| Class 319    | 0.5          | 0.4          | 0.4444       |
| Class 320    | 0            | 0.0          | 0            |
| Class 321    | 0            | 0.0          | 0            |
| Class 323    | 0.8333       | 0.4545       | 0.5882       |
| Class 324    | 0.7647       | 0.7647       | 0.7647       |
| Class 325    | 0.56         | 0.4828       | 0.5185       |
| Class 326    | 0.6667       | 0.5          | 0.5714       |
| Class 327    | 0.3571       | 0.3125       | 0.3333       |
| Class 328    | 0            | 0.0          | 0            |
| Class 329    | 0.3333       | 0.0588       | 0.1          |
| Class 330    | 0            | 0.0          | 0            |
| Class 331    | 0.0          | 0.0          | 0            |
| Class 332    | 0.5          | 0.1429       | 0.2222       |
| Class 333    | 0.8333       | 0.3846       | 0.5263       |
| Class 334    | 0.2          | 0.3333       | 0.25         |
| Class 335    | 1.0          | 0.4615       | 0.6316       |
| Class 336    | 0            | 0.0          | 0            |
| Class 338    | 0            | 0.0          | 0            |
| Class 339    | 0            | 0.0          | 0            |
| Class 340    | 0            | 0.0          | 0            |
| Class 341    | 0.0          | 0.0          | 0            |
| Class 342    | 0            | 0.0          | 0            |
| Class 344    | 0.4          | 0.4          | 0.4          |
| Class 345    | 1.0          | 0.6667       | 0.8          |
| Class 346    | 0            | 0.0          | 0            |
| Class 347    | 1.0          | 0.25         | 0.4          |
| Class 348    | 1.0          | 0.1429       | 0.25         |
| Class 349    | 0.6667       | 0.2222       | 0.3333       |
| Class 350    | 1.0          | 0.1429       | 0.25         |
| Class 351    | 1.0          | 0.625        | 0.7692       |
| Class 352    | 0            | 0.0          | 0            |
| Class 353    | 0            | 0.0          | 0            |
| Class 354    | 0            | 0.0          | 0            |
| Class 355    | 0            | 0.0          | 0            |
| Class 356    | 0            | 0.0          | 0            |
| Class 357    | 0            | 0.0          | 0            |
| Class 358    | 0            | 0.0          | 0            |
| Class 360    | 0            | 0.0          | 0            |
| Class 361    | 0.5          | 0.25         | 0.3333       |
| Class 362    | 0            | 0.0          | 0            |
| Class 363    | 0            | 0.0          | 0            |
| Class 364    | 0            | 0.0          | 0            |
| Class 365    | 0            | 0.0          | 0            |
| Class 366    | 0            | 0.0          | 0            |
| Class 368    | 0            | 0.0          | 0            |
| Class 371    | 0            | 0.0          | 0            |
| Class 372    | 0.8          | 1.0          | 0.8889       |
| Class 373    | 0            | 0.0          | 0            |
| Class 375    | 0.0          | 0.0          | 0            |
| Class 376    | 0.5          | 0.5          | 0.5          |
| Class 377    | 1.0          | 0.25         | 0.4          |
| Class 379    | 0            | 0.0          | 0            |
| Class 380    | 0.3333       | 1.0          | 0.5          |
| Class 382    | 0            | 0.0          | 0            |
| Class 384    | 0            | 0.0          | 0            |
| Micro-Average | 0.5228       | 0.5226       | 0.5227       |
| Macro-Average | 0.4484       | 0.3693       | 0.3779       |
+--------------------------------------------------+
